model,normalization,n_genes,worst_auc,mean_auc,auc_TCGA,auc_FUSCC,auc_VARLEY
k-NN (k=5),zsample,25,0.97427398989899,0.9803958972200485,0.9925301983597947,0.97427398989899,0.9743835034013606
SVM (RBF),zsample,200,0.9740214646464647,0.9899622659372018,0.9984163535733042,0.9740214646464647,0.9974489795918368
k-NN (k=5),zsample,100,0.9733270202020203,0.9825754056395474,0.9901304892336283,0.9733270202020203,0.9842687074829932
SVM (RBF),rank,50,0.9732323232323232,0.9894588645069106,0.9985456308326264,0.9732323232323232,0.9965986394557823
Logistic Regression (L2),zsample,50,0.9732142857142857,0.9855979095469006,0.9966791904011635,0.9869002525252526,0.9732142857142857
k-NN (k=5),rank,50,0.9725536616161616,0.9823421758369308,0.9928614713368077,0.9725536616161616,0.9816113945578232
SVM (RBF),logtpm,50,0.9717171717171716,0.9884967935376326,0.9969619844059305,0.9717171717171716,0.9968112244897959
k-NN (k=5),rank,100,0.9707386363636366,0.9798174952763358,0.9924170807578879,0.9707386363636366,0.9762967687074829
Shrunken Centroids (PAM),zsample,50,0.9683248299319728,0.9769245665886442,0.9822405365006264,0.9802083333333332,0.9683248299319728
SVM (RBF),zsample,50,0.967739898989899,0.9838502899161131,0.9965660727992567,0.967739898989899,0.9872448979591837
SVM (RBF),logtpm,25,0.9666666666666669,0.9829327308227054,0.9899971720599524,0.9666666666666669,0.9921343537414966
k-NN (k=5),rank,25,0.9664930555555558,0.9806253444175851,0.9919646103502606,0.9664930555555558,0.9834183673469389
Shrunken Centroids (PAM),logtpm,50,0.9663825757575758,0.9776669056918096,0.9868137195491454,0.9663825757575758,0.9798044217687075
SVM (RBF),logtpm,200,0.9660353535353535,0.9870006225307314,0.9983678746010585,0.9660353535353535,0.9965986394557823
k-NN (k=5),zsample,200,0.9655612244897959,0.9781580794923603,0.9915929382297095,0.9773200757575757,0.9655612244897959
k-NN (k=5),logtpm,100,0.9654987373737374,0.974507537584091,0.9906556780996243,0.9654987373737374,0.9673681972789115
k-NN (k=5),logtpm,50,0.9649234693877551,0.9741691188420049,0.9891811093604815,0.9684027777777778,0.9649234693877551
SVM (RBF),logtpm,100,0.9646464646464646,0.9866046238964241,0.9972932573829436,0.9646464646464646,0.997874149659864
k-NN (k=5),rank,200,0.9639668367346939,0.9734774010638839,0.991976730093322,0.9644886363636364,0.9639668367346939
k-NN (k=5),logtpm,200,0.9619472789115647,0.976473225041851,0.9964812345978267,0.9709911616161617,0.9619472789115647
Shrunken Centroids (PAM),zsample,100,0.9608843537414967,0.9697919083349097,0.9774370783339393,0.971054292929293,0.9608843537414967
Shrunken Centroids (PAM),rank,100,0.960671768707483,0.9739844971997839,0.9914111420837878,0.9698705808080809,0.960671768707483
k-NN (k=5),logtpm,25,0.9599747474747475,0.9704815835661448,0.9859087787338909,0.9599747474747475,0.965561224489796
Shrunken Centroids (PAM),logtpm,100,0.955334595959596,0.9650775657882481,0.9802892578677334,0.955334595959596,0.9596088435374149
Shrunken Centroids (PAM),logtpm,200,0.9547032828282829,0.9605470528776903,0.9717933179816588,0.9547032828282829,0.9551445578231292
Shrunken Centroids (PAM),rank,200,0.9534438775510204,0.9652952725182066,0.9831616369732963,0.959280303030303,0.9534438775510204
k-NN (k=5),zsample,50,0.9501488095238095,0.9725536489549942,0.9936169353209712,0.9738952020202021,0.9501488095238095
Shrunken Centroids (PAM),zsample,200,0.9496173469387754,0.9628970863105634,0.9746010584575607,0.9644728535353536,0.9496173469387754
